C-001 | SUPPORTED | E001-01,E001-02,E001-03,E001-04,E001-05,E001-06,E001-07
C-002 | CONTRADICTED | E002-01,E002-02,E002-03,E002-04,E002-05,E002-06,E002-07
C-003 | INSUFFICIENT | E003-01,E003-02,E003-03,E003-04,E003-05,E003-06,E003-07
C-004 | SUPPORTED | E004-01,E004-02,E004-03,E004-04,E004-05,E004-06,E004-07
C-005 | SUPPORTED | E005-01,E005-02,E005-03,E005-04,E005-05,E005-06,E005-07
C-006 | SUPPORTED | E006-01,E006-02,E006-03,E006-04,E006-05,E006-06,E006-07
C-007 | SUPPORTED | E007-01,E007-02,E007-03,E007-04,E007-05,E007-06,E007-07
C-008 | SUPPORTED | E008-01,E008-02,E008-03,E008-04,E008-05,E008-06,E008-07
C-009 | SUPPORTED | E009-01,E009-02,E009-03,E009-04,E009-05,E009-06,E009-07
C-010 | SUPPORTED | E010-01,E010-02,E010-03,E010-04,E010-05,E010-06,E010-07
C-011 | SUPPORTED | E011-01,E011-02,E011-03,E011-04,E011-05,E011-06,E011-07
C-012 | SUPPORTED | E012-01,E012-02,E012-03,E012-04,E012-05,E012-06,E012-07
C-013 | SUPPORTED | E013-01,E013-02,E013-03,E013-04,E013-05,E013-06,E013-07
C-014 | SUPPORTED | E014-01,E014-02,E014-03,E014-04,E014-05,E014-06,E014-07
C-015 | SUPPORTED | E015-01,E015-02,E015-03,E015-04,E015-05,E015-06,E015-07
C-016 | SUPPORTED | E016-01,E016-02,E016-03,E016-04,E016-05,E016-06,E016-07
C-017 | SUPPORTED | E017-01,E017-02,E017-03,E017-04,E017-05,E017-06,E017-07
C-018 | SUPPORTED | E018-01,E018-02,E018-03,E018-04,E018-05,E018-06,E018-07
C-019 | SUPPORTED | E019-01,E019-02,E019-03,E019-04,E019-05,E019-06,E019-07
C-020 | SUPPORTED | E020-01,E020-02,E020-03,E020-04,E020-05,E020-06,E020-07
C-021 | SUPPORTED | E021-01,E021-02,E021-03,E021-04,E021-05,E021-06,E021-07
C-022 | SUPPORTED | E022-01,E022-02,E022-03,E022-04,E022-05,E022-06,E022-07
C-023 | SUPPORTED | E023-01,E023-02,E023-03,E023-04,E023-05,E023-06,E023-07
C-024 |
