C-001 | SUPPORTED | E001-01,E001-02,E001-03,E001-04
C-002 | CONTRADICTED | E002-01,E002-02
C-003 | INSUFFICIENT | E003-01,E003-02,E003-03
C-004 | SUPPORTED | E004-01,E004-02,E004-03,E004-04
C-005 | SUPPORTED | E005-01,E005-02,E005-03
C-006 | SUPPORTED | E006-01,E006-02,E006-03
C-007 | SUPPORTED | E007-01,E007-02,E007-03,E007-04
C-008 | SUPPORTED | E008-01,E008-02,E008-03,E008-04
C-009 | SUPPORTED | E009-01,E009-02,E009-03,E009-04
C-010 | SUPPORTED | E010-01,E010-02,E010-03,E010-04
C-011 | SUPPORTED | E011-01,E011-02,E011-03,E011-04
C-012 | SUPPORTED | E012-01,E012-02,E012-03
C-013 | SUPPORTED | E013-01,E013-02,E013-03,E013-04
C-014 | SUPPORTED | E014-01,E014-02,E014-03,E014-04
C-015 | SUPPORTED | E015-01,E015-02,E015-03,E015-04
C-016 | SUPPORTED | E016-01,E016-02,E016-03
C-017 | SUPPORTED | E017-01,E017-02,E017-03
C-018 | SUPPORTED | E018-01,E018-02,E018-03,E018-04
C-019 | SUPPORTED | E019-01,E019-02,E019-03
C-020 | SUPPORTED | E020-01,E020-02,E020-03,E020-04
C-021 | SUPPORTED | E021-01,E021-02,E021-03,E021-04
C-022 | SUPPORTED | E022-01,E022-02,E022-03
C-023 | SUPPORTED | E023-01,E023-02,E023-03
C-024 |
